date,text,sentiment
2023-03-30 23:59:59+00:00,@elisha98281287 2013.....2009 was buying it back in 2022,neutral
2023-03-30 23:59:58+00:00,#Bitcoin 🧐 https://t.co/Fo8qyXGXeJ,neutral
2023-03-30 23:59:58+00:00,"@ykramerezha @James74842954 @LogDamn @dana916 No, Kosovo and Metohia (part of Serbia de jure and de facto at that moment) has been taken from Serbia by NATO violating UN Charter. Wars in 1990s are irrelevant from international law perspective. Same thing Russia is doing to Ukraine now, and cause is war in Donbas 2014.",neutral
2023-03-30 23:59:58+00:00,@trapdaddyvoss @Nakamigos #Nakamigos,neutral
2023-03-30 23:59:58+00:00,Requesting faucet funds into  0x45CB787a26721b3Ae6d4Ed5addaDb4BfB7396377on @rockx_official #Sepolia test network.,neutral
2023-03-30 23:59:57+00:00,"🚨 Sorteo de 10x1000 sats 🚨

Para participar:

✔️ Haz RT a este twit y al twit adjunto

✔️ Sigue a @CryptoCamarero 

En 24 horas se elegirán los ganadores aleatoriamente entre los que cumplan los requisitos ⚡️🧡

Suerte 🍀 https://t.co/hcrWKa9b5z",neutral
2023-03-30 23:59:57+00:00,@Missy__Crypto @elmonx_official Done 🙂 https://t.co/WIhRiZQ1DF,neutral
2023-03-30 23:59:57+00:00,@Missy__Crypto @elmonx_official Ty https://t.co/mnq7eLG3Yi,neutral
2023-03-30 23:59:56+00:00,@axx_axxxx @crypto_is_good @beemdvp @lu5st @jimmyhumania @Scrypto_Lang @RippyClip Followed. Thanks!,positive
2023-03-30 23:59:55+00:00,@Missy__Crypto @travelfi_net Done https://t.co/LvAEyiv2yS,neutral
2023-03-30 23:59:55+00:00,@crypto_kookie @hanniwon17,neutral
2023-03-30 23:59:55+00:00,"@SteveWr47845528 @Victorshi2020 Delete your account, failure.",negative
2023-03-30 23:59:55+00:00,@quirkiesnft @delabsOfficial QUIRK QUIRK BOOM 💥 https://t.co/eUrnvP64c0,neutral
2023-03-30 23:59:55+00:00,@TruQuest_69 Gm Tru,neutral
2023-03-30 23:59:54+00:00,Based. Crypto is a scam. Team Warren ftw 💯 🙌,neutral
2023-03-30 23:59:54+00:00,"@BradfordSander8 @goldshellminer @ScPrimeCloud @xnscloud @NewEnglandCryp1 @crypto_deb @NerdyDudeStuff @TradeOgre @CoinMarketCap @coingecko @coinbase I hope that shelf can support the weight of your $SCP bag here in a few months.
Great looking setup!",positive
2023-03-30 23:59:52+00:00,"@DEGEN3RATES @cryptoequip @bearandbullnft So dope 🔥🔥🔥🔥

@TruQuest_69 @Gazza_Crypto @SamuelG80",neutral
2023-03-30 23:59:52+00:00,"👩‍⚖️FYI: #RIPPLE SUMMARY JUDGMENT RULING LIKELY  ON OR BEFORE MAY 1, 2023 (IN LINE WITH JUDGE'S PRIOR RULING SCHEDULE). #NFA #XRP #RIPPLE $XRP #CRYPTO #SEC #CRYPTOCURRENCY",neutral
2023-03-30 23:59:52+00:00,@BurakBozoglu8 @_typicalfriends @9gagceo @Memeland Nice potato🙌,positive
2023-03-30 23:59:51+00:00,@ewarren Anti-Crypto Army: https://t.co/J7vu0c0SKt,neutral
2023-03-30 23:59:51+00:00,@Crypto_Ynah OMGGGG WELCOME BACK PO 😭,positive
2023-03-30 23:59:50+00:00,"(*'ω'*)ノ攻略は探してね！は分かるんですけど、初歩的な説明やチュートリアルは当たり前ですが欲しいです笑

#エルマス",positive
2023-03-30 23:59:50+00:00,"Karo no para! 🔥 
Todos los días nos regala aportes de mucho valor. 
Si no la sigues, no sé qué estás esperando 🤨",neutral
2023-03-30 23:59:50+00:00,@DrROMAN_NFT Same!! Congrats fam would love to connect!,positive
2023-03-30 23:59:49+00:00,"*cough* 🤔  @Rocket_Pool  

Might take out a long long https://t.co/TFZMUlIVzR",neutral
